title,url,page,text,Category,Rank,Hide,isFree,isTopRated,verified,premium,imgUrl,logoUrl
XGBoost,https://xgboost.readthedocs.io/en/stable/python/python_intro.html,xgboost,"XGBoost is an open-source software library which provides a regularizing gradient boosting framework for C++, Java, Python, R, Julia, Perl, and Scala. It works on Linux, Microsoft Windows, and macOS.",Machine Learning (Gradient Boosting),26000,,,,,,,https://xgboost.ai/images/logo/xgboost-logo.png
LightGBM,https://lightgbm.readthedocs.io/en/stable/,lighgbm,"LightGBM, short for Light Gradient-Boosting Machine, is a free and open-source distributed gradient-boosting framework for machine learning, originally developed by Microsoft. It is based on decision tree algorithms and used for ranking, classification and other machine learning tasks.",Machine Learning (Gradient Boosting),17000,,,,,,,https://lightgbm.readthedocs.io/en/stable/_static/LightGBM_logo_grey_text.svg
CatBoost,https://catboost.ai/en/docs/concepts/python-installation,catboost,CatBoost is a gradient-boosting library known for its speed and quality. It supports numerical and categorical data.,Machine Learning (Gradient Boosting),8200,,,,,,,https://yastatic.net/s3/locdoc/daas-static/catboost/71b237a322eec6f2889af0dae2a9c549.svg
NLTK,https://www.nltk.org,nltk,"The Natural Language Toolkit, or more commonly NLTK, is a suite of libraries and programs for symbolic and statistical natural language processing for English written in the Python programming language.",Natural Language Processing; Text Data & NLP,14000,,,,,,,https://thedatascientist.com/wp-content/uploads/2023/08/nltk.png
FastAI,https://docs.fast.ai/,fastai,"fastai is a deep learning library which provides practitioners with high-level components that can quickly and easily provide state-of-the-art results in standard deep learning domains, and provides researchers with low-level components that can be mixed and matched to build new approaches.",Deep Learning; Machine Learning Frameworks,26000,,,,,,,https://github.com/fastai/fastai/actions/workflows/main.yml/badge.svg
Statsmodels,https://www.statsmodels.org/stable/index.html,statsmodels,"statsmodels is a Python module that provides classes and functions for the estimation of many different statistical models, as well as for conducting statistical tests, and statistical data exploration.",Statistical Analysis and Econometrics; Machine Learning Frameworks,10000,,,,,,,https://www.statsmodels.org/stable/_images/statsmodels-logo-v2-horizontal.svg
RapidsAI,https://rapids.ai/,rapidsai,The RAPIDS suite of open-source software libraries executes end-to-end data science and analytics pipelines entirely on GPUs.,Machine Learning; Data Science,,,,,,,,https://rapids.ai/images/rapids-logo-whitetxt.svg
Optuna,https://optuna.org/,optuna,This open-source hyperparameter optimization framework is used primarily to automate hyperparameter searches.,Hyperparameter Optimization & AutoML,11000,,,,,,,https://optuna.org/assets/img/optuna-logo.png
PyCaret,https://pycaret.org/,pycaret,"PyCaret is an open-source, low-code machine learning library in Python that automates machine learning workflows. It is an end-to-end machine learning and model management tool that exponentially speeds up the experiment cycle and makes you more productive.",Machine Learning Auto ML;Workflow & Experiment Tracking,9100,,,,,,,https://pycaret.org/wp-content/uploads/2022/01/Transparent_file1-01-01-01-01.png
H2O,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/welcome.html,h2o,H2O is a machine learning and predictive analytics platform that enables the construction of machine learning models on big data.,Machine Learning Auto ML,,,,,,,,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/_static/logo.png
TPOT,https://epistasislab.github.io/tpot/,tpot,TPOT is an Automated Machine Learning (AutoML) library. It was built as an add-on to scikit-learn and uses Genetic Programming (GP) to determine the best model pipeline for a given dataset.,Machine Learning Auto ML; Hyperparameter Optimization,9800,,,,,,,https://raw.githubusercontent.com/EpistasisLab/tpot/master/images/tpot-logo.jpg
Auto-sklearn,https://automl.github.io/auto-sklearn,auto-sklearn,"Auto-sklearn is an automated machine learning toolkit and a suitable substitute for a scikit-learn model. It performs hyperparameter tuning and algorithm selection automatically, saving considerable time for machine learning practitioners. Its design reflects recent advances in meta-learning, ensemble construction, and Bayesian optimization.",Machine Learning Auto ML; Hyperparameter Optimization,7700,,,,,,,https://github.com/automl/auto-sklearn/raw/development/doc/images/askl_pipeline.png
FLAML,https://github.com/microsoft/FLAML,flaml,"FLAML is a lightweight Python library that automatically identifies accurate machine learning models. It selects learners and hyperparameters automatically, saving machine learning practitioners considerable time and effort.",Machine Learning Auto ML,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
PyTorch Lightning,https://lightning.ai/,pyTorch lightning,"PyTorch Lightning offers a high-level interface for PyTorch. Its high-performance and lightweight framework can organize PyTorch code to decouple the research from the engineering, making deep learning experiments simpler to understand and reproduce. It was developed to create scalable deep learning models that can seamlessly run on distributed hardware.",Deep Learning,,,,,,,,https://lightning.ai/static/media/logo-with-text-dark.bdcfdf86bccb9812ed1d3ec873e9e771.svg
spaCy,https://spacy.io/,spacy,"spaCy is an industrial-strength, open-source natural language processing library in Python. spaCy excels at large-scale information extraction tasks. It is written from the ground up in carefully memory-managed Cython. spaCy is the ideal library to use if your application needs to process massive web dumps.",Natural Language Processing; Text Data & NLP,31000,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Gensim,https://radimrehurek.com/gensim/,gensim,"Gensim is a Python library for topic modeling, document indexing, and similarity retrieval with large corpora. Its principle usership is in the information retrieval and natural language processing communities.",Natural Language Processing; Text Data & NLP,16000,,,,,,,https://radimrehurek.com/gensim/_static/images/gensim.png
Hugging Face Transformers,https://www.datacamp.com/tutorial/an-introduction-to-using-transformers-and-hugging-face,hugging face transformers,"Hugging Face Transformers is an open-source library by Hugging Face. Transformers allow APIs to easily download and train state-of-the-art pre-trained models. Using pre-trained models can reduce your compute costs, carbon footprint, and save you time from having to train a model from scratch.",Natural Language Processing,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Polars,https://pola.rs/,polars,Polars is a high-performance DataFrame library optimized for large data sets. It utilizes lazy evaluation and multi-threading for rapid data operations.,Data Manipulation,,,,,,,,https://pola.rs/_astro/polars-cloud.DDYQK_KH_Z23Kwkw.webp
Bokeh,https://bokeh.org/,bokeh,Bokeh specializes in interactive visualizations independent of Matplotlib. It works in modern browsers and offers various interactive features.,Data Visualisation,20000,,,,,,,https://static.bokeh.org/logos/logotype.svg
pydot,https://pypi.org/project/pydot/,pydot,Pydot is an interface to Graphviz and is ideal for generating complex graphs.,Graph Visualization,,,,,,,,https://pypi.org/static/images/logo-small.8998e9d1.svg
Eli5,https://eli5.readthedocs.io/en/latest/,eli5,Eli5 helps debug machine learning models by offering visualization tools.,Data Visualisation; Explainable AI; Machine Learning Frameworks; Model Interpretability,2800,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
PyBrain,https://github.com/pybrain/pybrain,pyBrain,"Although inactive, PyBrain offers a range of machine-learning algorithms. It was designed for both beginners and advanced users.",Machine Learning Frameworks,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Dist-Keras,https://joerihermans.com/work/distributed-keras/,dist-kkeras,"Built on Keras and Apache Spark, Dist-Keras focuses on distributed deep learning.",Deep Learning,,,,,,,,https://joerihermans.com/images/logo.png
Caffe,https://caffe.berkeleyvision.org/,caffe,"Developed by BVLC and BAIR, Caffe specializes in vision-based machine learning tasks. It excels in image classification and convolutional neural networks.",Deep Learning,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Fuel,https://fuel.readthedocs.io/en/latest/,fuel,"Fuel acts as a data pipeline for machine learning models, offering out-of-the-box support for popular datasets and on-the-fly data preprocessors.",Deep Learning,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
StatsModels,https://www.statsmodels.org/devel/,statsModels,"Ideal for statistical analysis, StatsModels provides methods for various statistical models from simple linear regression to time-series analysis.",Statistical Modeling; Machine Learning Frameworks,10000,,,,,,,https://www.statsmodels.org/devel/_static/statsmodels-logo-v2-bw.svg
Scrapy,https://scrapy.org/,scrapy,"Scrapy is a robust framework for scraping structured data from the web, supporting large-scale data extraction.",Web Scraping,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Pattern,https://github.com/clips/pattern/wiki,pattern,"Pattern is an all-in-one solution offering machine learning algorithms, data collection, and analysis. It supports data mining from sources like Google, Twitter, and Wikipedia.",Web Mining,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
TextBlob,https://textblob.readthedocs.io/en/dev/,textblob,"TextBlob is a must for developers who are starting their journey with NLP in Python and want to make the most of their first encounter with NLTK. It provides beginners with an easy interface to help them learn the most basic NLP tasks like sentiment analysis, pos-tagging, or noun phrase extraction.",Natural Language Processing; Text Data & NLP,9200,,,,,,,https://textblob.readthedocs.io/en/dev/_static/textblob-logo.png
CoreNLP,https://stanfordnlp.github.io/CoreNLP/,corenlp,This library was developed at Stanford University and written in Java. It has been pivotal in academic and research settings due to its accurate natural language parsing and rich linguistic annotations.,Natural Language Processing,,,,,,,,https://stanfordnlp.github.io/CoreNLP/assets/images/corenlp-title.png
polyglot,https://polyglot.readthedocs.io/en/latest/,polyglot,"Polyglot is similar to spaCy – it’s very efficient, straightforward, and an excellent choice for projects involving a language spaCy doesn’t support. The library also stands out from the crowd because it requests a dedicated command in the command line through the pipeline mechanisms—worth a try.",Natural Language Processing; Text Data & NLP,2300,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
OpenCV,https://opencv.org/?ref=allthingsai.com,opencv,"For computer vision tasks like recognizing faces or objects in images, OpenCV is a go-to library. It has thousands of algorithms for working with images and videos. It's used in different fields, from academics to industry.",Computer Vision,,,,,,,,https://opencv.org/wp-content/uploads/2022/05/logo.png
PyTorch Geometric,https://pytorch-geometric.readthedocs.io/en/latest/,pytorch geometric,PyG (PyTorch Geometric) is a library built upon  PyTorch to easily write and train Graph Neural Networks (GNNs) for a wide range of applications related to structured data.,Graph Neural Networks; Graph Data,22000,,,,,,,https://raw.githubusercontent.com/pyg-team/pyg_sphinx_theme/master/pyg_sphinx_theme/static/img/pyg_logo.png
HuggingFace,https://huggingface.co/,huggingface,The Hugging Face is an open-source library that provides a vast array of pre-trained models primarily focused on NLP.,Natural Language Processing,,,,,,,,https://huggingface.co/front/assets/huggingface_logo-noborder.svg
JAX,https://jax.readthedocs.io/en/latest/quickstart.html,jax,"JAX is a library for array-oriented numerical computation (à la NumPy), with automatic differentiation and JIT compilation to enable high-performance machine learning research.",Machine Learning Frameworks; Generative AI,31000,,,,,,,https://jax.readthedocs.io/en/latest/_static/jax_logo_250px.png
LangChain,https://python.langchain.com/docs/introduction/,langchain,LangChain is a framework for developing applications powered by large language models (LLMs). LangChain simplifies every stage of the LLM application lifecycle.,Natural Language Processing; Generative AI,,,,,,,,https://python.langchain.com/img/brand/wordmark.png
BeautifulSoup,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,beautifulsoup,"Beautiful Soup is a Python library for pulling data out of HTML and XML files. It works with your favorite parser to provide idiomatic ways of navigating, searching, and modifying the parse tree. It commonly saves programmers hours or days of work.",Web Scraping,,,,,,,,https://www.crummy.com/software/BeautifulSoup/bs4/doc/_images/6.1.jpg
OpenAI (GPT-3),https://platform.openai.com/docs/api-reference/introduction,openai,OpenAI provides access to one of the most powerful AI models for natural language processing.,Natural Language Processing,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Magenta,https://magenta.tensorflow.org/get-started,magenta,"This library includes utilities for manipulating source data (primarily music and images), using this data to train machine learning models, and finally generating new content from these models.",Generative AI,19000,,,,,,,https://magenta.tensorflow.org/assets/magenta-logo.png
Caffe2,https://caffe2.ai/docs/getting-started.html?platform=windows&configuration=compile,caffe2,Caffe2 is a deep learning framework that provides an easy and straightforward way for you to experiment with deep learning and leverage community contributions of new models and algorithms. You can bring your creations to scale using the power of GPUs in the cloud or to the masses on mobile with Caffe2’s cross-platform libraries.,Deep Learning Frameworks,,,,,,,,https://caffe2.ai/static/logo.svg
Diffusers,https://pypi.org/project/diffusers/,diffusers,"Diffusers is the go-to library for state-of-the-art pretrained diffusion models for generating images, audio, and even 3D structures of molecules. Whether you're looking for a simple inference solution or training your own diffusion models",Generative AI,,,,,,,,https://pypi.org/static/images/logo-small.8998e9d1.svg
LlamaIndex,https://docs.llamaindex.ai/en/stable/,llamaIndex,LlamaIndex is a framework for building context-augmented generative AI applications with LLMs including agents and workflows.,Data Management; Generative AI,,,,,,,,https://docs.llamaindex.ai/en/stable/_static/assets/LlamaSquareBlack.svg
HayStack,https://docs.haystack.deepset.ai/docs/intro,haystack,"Haystack is an open-source framework for building production-ready LLM applications, retrieval-augmented generative pipelines and state-of-the-art search systems that work intelligently over large document collections.",Natural Language Processing; Text Data & NLP,18000,,,,,,,https://files.readme.io/4b4b515-small-Haystack_Primary_White_Text.png
PineCone,https://docs.pinecone.io/guides/get-started/overview,pinecone,"Pinecone is the leading AI infrastructure for building accurate, secure, and scalable AI applications. Use Pinecone Database to store and search vector data at scale, or start with Pinecone Assistant to get a RAG application running in minutes.",Data Management,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Cohere,https://docs.cohere.com/reference/about,Cohere,A large language model startup offering access to powerful AI models through an API.,Natural Language Processing,,,,,,,,https://fdr-prod-docs-files-public.s3.amazonaws.com/cohere.docs.buildwithfern.com/2024-11-29T15:24:53.904Z/assets/logo.svg
Sonnet,https://sonnet.readthedocs.io/en/latest/,sonnet,"Sonnet is a library built on top of TensorFlow designed to provide simple, composable abstractions for machine learning research.",Deep Learning Frameworks; Machine Learning Frameworks,9800,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Mahotas,https://mahotas.readthedocs.io/en/latest/,mahotas,Mahotas is a computer vision and image processing library for Python.It includes many algorithms implemented in C++ for speed while operating in numpy arrays and with a very clean Python interface.,Computer Vision; Image Data,860,,,,,,,https://github.com/luispedro/mahotas/actions/workflows/test-python-package-with-conda.yml/badge.svg
Pillow,https://pillow.readthedocs.io/en/stable/,pillow,The Python Imaging Library adds image processing capabilities to your Python interpreter. It’s a friendly fork of the Python Imaging Library (PIL).,Computer Vision; Image Data,12000,,,,,,,https://pillow.readthedocs.io/en/stable/_static/pillow-logo-dark-text.png
Stanza,https://stanfordnlp.github.io/stanza/,stanza,"Stanza is a collection of accurate and efficient tools for the linguistic analysis of many human languages. Starting from raw text, Stanza divides it into sentences and words, and then can recognize parts of speech and entities, do syntactic analysis, and more. Stanza brings state-of-the-art NLP models to languages of your choosing.",Natural Language Processing; Text Data & NLP,7300,,,,,,,https://github.com/stanfordnlp/stanza/raw/dev/images/stanza-logo.png
Dash,https://dash.plotly.com/,dash,Dash is the original low-code framework for rapidly building data apps in Python.,Web Development,22000,,,,,,,https://dash.plotly.com/assets/images/plotly_logo_dark.png
Streamlit,https://streamlit.io/,streamlit,Streamlit turns data scripts into shareable web apps in minutes. All in pure Python. No front‑end experience required.,Web Development,36000,,,,,,,https://user-images.githubusercontent.com/7164864/217935870-c0bc60a3-6fc0-4047-b011-7b4c59488c91.png
Gradio,https://www.gradio.app/,gradio,"Gradio is the fastest way to demo your machine learning model with a friendly web interface so that anyone can use it, anywhere!",Web Development; Generative AI,35000,,,,,,,https://www.gradio.app/_app/immutable/assets/gradio.CHB5adID.svg
FastAPI,https://fastapi.tiangolo.com/,fastapi,"FastAPI is a modern, fast (high-performance), web framework for building APIs with Python based on standard Python type hints.",Web Development,,,,,,,,https://fastapi.tiangolo.com/img/icon-white.svg
Jupyter Notebooks,https://jupyter.org/,jupyter notebooks,"A staple in the data science community, Jupyter Notebooks facilitate the sharing of live code, visualizations, and narrative text, making them an invaluable tool for prototyping and experimentation.",Interactive Computing,,,,,,,,https://jupyter.org/assets/logos/rectanglelogo-greytext-orangebody-greymoons.svg
Weights & Biases,https://wandb.ai/,weights&biases,"This platform is crucial for teams working on generative AI projects, offering functionalities for tracking experiments, version controlling machine learning models, and generating collaborative reports.",Experiment Tracking,,,,,,,,https://site.wandb.ai/wp-content/uploads/2024/05/Horizontal-WB-logo.svg
FANN,https://github.com/libfann/fann,fann,"Fast Artificial Neural Network Library, or FANN, implements artificial neural networks in C (which is what makes it up to 150 times faster than other libraries) while making them accessible in a number of different languages, including Python.",Deep Learning,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
ffnet,https://github.com/mrkwjc/ffnet,ffnet,ffnet is a Python AI library for implementing feed-forward neural networks. It uses a graphical user interface to visualize training datasets.,Deep Learning,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
SimpleCV,https://simplecv.org/,simplecv,"Where OpenCV focuses on comprehensiveness and customizability, SimpleCV focuses on making computer vision easy. The learning curve is much smaller to the point where getting images from a camera is as simple as initializing a camera (using Camera()) and getting its image (using Camera.getImage()). This Python AI library is a stellar choice for developers focused on common computer vision applications as opposed to highly customized solutions.",Computer Vision,,,,,,,,http://simplecv.org/assets/SM_logo_color.png
PyCLIPS,https://pypi.org/project/pyclips/,pyclips,"PyCLIPS provides an inference engine to Python applications. It provides a rules-based engine as binary modules inside the library that are accessed using classes and functions. The engine itself stays “alive” in a separate memory space to the Python space, so inferences and rules are persisted as your program grows in functionality.",Expert Systems,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Experta,https://pypi.org/project/experta/,experta,"Also inspired by CLIPS, Experta is a rule engine that pairs a set of facts with a set of rules based on those facts. Then, actions are executed based on these rules. All facts and rules are held by the implemented knowledge engine which determines the expert output of the system when it is called.",Expert Systems,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Theano,https://pypi.org/project/Theano/,theano,"A numerical computation library that allows you to define, optimize, and evaluate mathematical expressions.",Deep Learning Frameworks; Machine Learning Frameworks,9900,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
MXNet,https://mxnet.apache.org/versions/1.9.1/,mxnet,A flexible and efficient deep learning framework designed for both efficiency and productivity.,Deep Learning Frameworks; Machine Learning Frameworks,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Dask,https://www.dask.org/,dask,A flexible parallel computing library for analytics that integrates with NumPy and Pandas.,Data Processing; Distributed Machine Learning,13000,,,,,,,https://cdn.prod.website-files.com/655926fa24195711dbf38624/655926fa24195711dbf38653_dask-header-logo.svg
PySpark,https://spark.apache.org/docs/latest/api/python/,pyspark,"The Python API for Apache Spark, enabling large-scale data processing.",Big Data Processing; Machine Learning Frameworks,40000,,,,,,,https://spark.apache.org/docs/latest/api/python/_static/spark-logo-reverse.png
TFLearn,https://tflearn.org/,tflearn,A deep learning library built on top of TensorFlow that provides a high-level API to build models easily.,Deep Learning Frameworks; Machine Learning Frameworks,9600,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Chainer,https://chainer.org/,chainer,A flexible framework designed for deep learning that allows dynamic computation graphs.,Deep Learning Frameworks; Machine Learning Frameworks,5900,,,,,,,https://chainer.org/images/chainer_white_h.png
ONNX Runtime,https://onnxruntime.ai/,onnx runtime,An inference engine designed to run ONNX models efficiently across platforms.,Model Inference,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Pydantic,https://docs.pydantic.dev/latest/,pydantic,Data validation and settings management using Python type annotations.,Data Validation,,,,,,,,https://docs.pydantic.dev/latest/logo-white.svg
brick,https://www.scikit-yb.org/en/latest/,brick,A visual analysis and diagnostic tool for machine learning models.,Deep Learning Frameworks,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Shapely,https://shapely.readthedocs.io/en/stable/,shapely,A library for manipulation and analysis of planar geometric objects.,Geospatial Data,4000,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
GeoPandas,https://geopandas.org/en/stable/,geopandas,An extension of Pandas to support spatial data operations.,Geospatial Data,4600,,,,,,,https://geopandas.org/en/stable/_static/geopandas_logo_web.svg
Folium,https://python-visualization.github.io/folium/,folium,A library for visualizing geospatial data on interactive maps.,Geospatial Data,7000,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
PyWavelets,https://pywavelets.readthedocs.io/en/latest/,pywavelets,A library for wavelet transforms in Python.,Signal Processing,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
PyOD,https://pyod.readthedocs.io/en/latest/,pyod,A comprehensive toolkit for detecting outlying objects in multivariate data.,Anomaly Detection,8700,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Orange3,https://orangedatamining.com/,orange3,An open-source data visualization and analysis tool for both novice and expert users.,Data Mining,,,,,,,,https://orangedatamining.com/_next/static/media/logo-orange.faff1861.svg
Featuretools,https://featuretools.alteryx.com/en/stable/,featuretools,A library for automated feature engineering in machine learning.,Feature Engineering; Hyperparameter Optimization & AutoML,7300,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
MLflow,https://mlflow.org/,mlflow,"An open-source platform to manage the ML lifecycle, including experimentation, reproducibility, and deployment.",Workflow & Experiment Tracking,19000,,,,,,,https://mlflow.org/img/mlflow-black.svg
Sacred,https://sacred.readthedocs.io/en/stable/quickstart.html,sacred,"A tool to help you configure, organize, log, and reproduce experiments.",Experiment Management; Workflow & Experiment Tracking,4300,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Ray  ,https://www.ray.io/,ray  ,A high-performance distributed execution framework that makes it easy to scale applications across clusters.  ,Distributed Computing  ,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Horovod  ,https://horovod.readthedocs.io/en/stable/,horovod  ,A distributed deep learning training framework that makes it easy to scale TensorFlow and PyTorch models.  ,Distributed Deep Learning,,,,,,,,https://horovod.readthedocs.io/en/stable/_static/logo.png
Pygame  ,https://www.pygame.org/wiki/about,pygame  ,"A set of Python modules designed for writing video games, useful for AI in game development.  ",Game Development  ,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
TensorFlow Probability  ,https://www.tensorflow.org/probability,tensorflow probability  ,A library for probabilistic reasoning and statistical analysis in TensorFlow.  ,Probabilistic Modeling  ,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Stable Baselines3  ,https://stable-baselines3.readthedocs.io/en/master/,stable baselines3  ,A set of reliable implementations of reinforcement learning algorithms based on PyTorch.  ,Reinforcement Learning  ,,,,,,,,https://stable-baselines3.readthedocs.io/en/master/_static/logo.png
Rasa  ,https://rasa.com/,rasa  ,An open-source machine learning framework for building contextual AI assistants and chatbots.  ,Natural Language Processing; Chatbots  ,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
AllenNLP  ,https://github.com/allenai/allennlp,allennlp  ,An open-source NLP research library built on PyTorch focused on deep learning models for NLP tasks.  ,Natural Language Processing  ,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
Fairseq  ,https://fairseq.readthedocs.io/en/latest/,fairseq  ,A sequence-to-sequence learning toolkit for training custom models on various tasks in NLP.     ,Natural Language Processing     ,,,,,,,,https://miro.medium.com/v2/resize:fit:720/format:webp/1*a6STnftUJKj9PA0tmOKIwQ.jpeg
DeepPavlov     ,https://docs.deeppavlov.ai/en/master/,deeppavlov     ,An open-source library for building conversational AI systems with various pre-trained models.     ,Natural Language Processing; Chatbots     ,,,,,,,,https://docs.deeppavlov.ai/en/master/_static/deeppavlov.png
FastText      ,https://fasttext.cc/,fasttext      ,A library for efficient text classification and representation learning developed by Facebook AI Research.      ,Natural Language Processing      ,,,,,,,,https://fasttext.cc/img/fasttext-logo-color-web.png
